Campo;Valore
Nome;Paolo
Cognome;C
Inquadramento-Mansione;Amministrativo
Ambito lavorativo;Uffici
Data Autovalutazione;03/08/2026
Processi produttivi mansione;4.0
Rapporto colleghi;2.0
Interfaccia fornitori-clienti;5.0
Processi cartone-scatole;3.0
Processo pallettizzazione;2.0
Competenze legali-tecniche;4.0
Individuazione rischi-fabbisogni;4.0
Capacità d'adattamento;2.0
Capacità comunicative;3.0
Precisione lavoro;5.0
Persuasione;3.0
Analisi critica contesto;4.0
Turnazioni;1.0
Responsabilità supervisione;3.0
