Campo;Valore
Nome;Silvia
Cognome;Simoncini
Inquadramento-Mansione;Responsabile Controllo Magazzino
Ambito lavorativo;Trasporto-Logistica
Data Autovalutazione;2026-08-03
Processi produttivi mansione;2
Rapporto colleghi;4
Interfaccia fornitori-clienti;3
Processi cartone-scatole;4
Processo pallettizzazione;5
Competenze legali-tecniche;2
Individuazione rischi-fabbisogni;4
Capacità d'adattamento;5
Capacità comunicative;5
Precisione lavoro;5
Persuasione;5
Analisi critica contesto;4
Turnazioni;4
Responsabilità supervisione;2
