Campo;Valore
Nome;Giovanni
Cognome;Bianchi
Inquadramento-Mansione;Addetto all'ondulatore
Ambito lavorativo;Produzione
Data Autovalutazione;2026-09-21
Processi produttivi mansione;4
Rapporto colleghi;4
Interfaccia fornitori-clienti;1
Processi cartone-scatole;5
Processo pallettizzazione;3
Competenze legali-tecniche;1
Individuazione rischi-fabbisogni;4
Capacità d'adattamento;3
Capacità comunicative;4
Precisione lavoro;3
Persuasione;4
Analisi critica contesto;4
Turnazioni;5
Responsabilità supervisione;1
