Campo;Valore
Nome;Silvia
Cognome;Simoncini
Inquadramento-Mansione;Ufficio Magazino
Ambito lavorativo;Trasporto-Logistica
Data Autovalutazione;2026-08-03
Processi produttivi mansione;4
Rapporto colleghi;3
Interfaccia fornitori-clienti;5
Processi cartone-scatole;5
Processo pallettizzazione;5
Competenze legali-tecniche;3
Individuazione rischi-fabbisogni;4
Capacità d'adattamento;5
Capacità comunicative;4
Precisione lavoro;4
Persuasione;3
Analisi critica contesto;4
Turnazioni;2
Responsabilità supervisione;2
