Campo;Valore
Nome;Simona
Cognome;Ricci
Inquadramento-Mansione;Controllo di gestione del magazzino prodotti finiti
Ambito lavorativo;Uffici
Data Autovalutazione;2026-09-21
Processi produttivi mansione;4
Rapporto colleghi;4
Interfaccia fornitori-clienti;5
Processi cartone-scatole;3
Processo pallettizzazione;5
Competenze legali-tecniche;2
Individuazione rischi-fabbisogni;3
Capacità d'adattamento;4
Capacità comunicative;5
Precisione lavoro;5
Persuasione;4
Analisi critica contesto;4
Turnazioni;3
Responsabilità supervisione;1
